nuclide   ,mass                ,uncertainty         ,Year/link 
1H        ,1.007825031898      ,0.000000000014      ,2020      
2H        ,2.014101777844      ,0.000000000015      ,2020      
3H        ,3.01604928132       ,0.00000000008       ,2020      
3He       ,3.01602932197       ,0.00000000006       ,2020      
3Li       ,3.030775            ,0.002147            ,2020      
4H        ,4.026431867         ,0.000107354         ,2020      
4He       ,4.00260325413       ,0.00000000016       ,2020      
4Li       ,4.027185561         ,0.000227733         ,2020      
5H        ,5.035311492         ,0.000096020         ,2020      
5He       ,5.012057224         ,0.000021470         ,2020      
5Li       ,5.012537800         ,0.000053677         ,2020      
5Be       ,5.039870            ,0.002150            ,2020      
6H        ,6.044955437         ,0.000272816         ,2020      
6He       ,6.018885889         ,0.000000057         ,2020      
6Li       ,6.01512288742       ,0.00000000155       ,2020      
6Be       ,6.019726409         ,0.000005848         ,2020      
6B        ,6.050800            ,0.002150            ,2020      
7H        ,7.052749            ,0.001078            ,2020      
7He       ,7.027990652         ,0.000008115         ,2020      
7Li       ,7.01600343426       ,0.00000000450       ,2020      
7Be       ,7.016928714         ,0.000000076         ,2020      
7B        ,7.029712000         ,0.000027000         ,2020      
8He       ,8.033934388         ,0.000000095         ,2020      
8Li       ,8.022486244         ,0.000000050         ,2020      
8Be       ,8.005305102         ,0.000000037         ,2020      
8B        ,8.024607315         ,0.000001073         ,2020      
8C        ,8.037643039         ,0.000019584         ,2020      
9He       ,9.043946414         ,0.000050259         ,2020      
9Li       ,9.026790191         ,0.000000200         ,2020      
9Be       ,9.012183062         ,0.000000082         ,2020      
9B        ,9.013329645         ,0.000000969         ,2020      
9C        ,9.031037202         ,0.000002293         ,2020      
10He      ,10.052815306        ,0.000099676         ,2020      
10Li      ,10.035483453        ,0.000013656         ,2020      
10Be      ,10.013534692        ,0.000000086         ,2020      
10B       ,10.012936862        ,0.000000016         ,2020      
10C       ,10.016853217        ,0.000000075         ,2020      
10N       ,10.041653540        ,0.000429417         ,2020      
11Li      ,11.043723581        ,0.000000660         ,2020      
11Be      ,11.021661080        ,0.000000255         ,2020      
11B       ,11.009305166        ,0.000000013         ,2020      
11C       ,11.011432597        ,0.000000064         ,2020      
11N       ,11.026157593        ,0.000005368         ,2020      
11O       ,11.051249828        ,0.000064453         ,2020      
12Li      ,12.052613942        ,0.000032213         ,2020      
12Be      ,12.026922082        ,0.000002048         ,2020      
12B       ,12.014352638        ,0.000001418         ,2020      
12C       ,12.0000000          ,0.0000000           ,2020      
12N       ,12.018613180        ,0.000001073         ,2020      
12O       ,12.034367726        ,0.000012882         ,2020      
13Li      ,13.061171503        ,0.000075150         ,2020      
13Be      ,13.036134506        ,0.000010929         ,2020      
13B       ,13.017779981        ,0.000001073         ,2020      
13C       ,13.00335483534      ,0.00000000025       ,2020      
13N       ,13.005738609        ,0.000000289         ,2020      
13O       ,13.024815435        ,0.000010226         ,2020      
13F       ,13.045121           ,0.000537            ,2020      
14Be      ,14.042892920        ,0.000141970         ,2020      
14B       ,14.025404010        ,0.000022773         ,2020      
14C       ,14.00324198862      ,0.00000000403       ,2020      
14N       ,14.00307400425      ,0.00000000024       ,2020      
14O       ,14.008596706        ,0.000000027         ,2020      
14F       ,14.034315196        ,0.000044142         ,2020      
15Be      ,15.053490215        ,0.000177990         ,2020      
15B       ,15.031087023        ,0.000022575         ,2020      
15C       ,15.010599256        ,0.000000858         ,2020      
15N       ,15.00010889827      ,0.00000000062       ,2020      
15O       ,15.003065636        ,0.000000526         ,2020      
15F       ,15.017785139        ,0.000015029         ,2020      
15Ne      ,15.043172977        ,0.000071588         ,2020      
16Be      ,16.061672036        ,0.000177990         ,2020      
16B       ,16.039841045        ,0.000026373         ,2020      
16C       ,16.014701255        ,0.000003840         ,2020      
16N       ,16.006101925        ,0.000002470         ,2020      
16O       ,15.99491461926      ,0.00000000032       ,2020      
16F       ,16.011460278        ,0.000005758         ,2020      
16Ne      ,16.025750860        ,0.000021986         ,2020      
