z         nuclide   A         mass                uncertainty         Year/link 
--------------------------------------------------------------------------------
1         H         1         1.007825031898      0.000000000014      2020      
1         H         2         2.014101777844      0.000000000015      2020      
1         H         3         3.01604928132       0.00000000008       2020      
1         H         4         4.026431867         0.000107354         2020      
1         H         5         5.035311492         0.000096020         2020      
1         H         6         6.044955437         0.000272816         2020      
1         H         7         7.052749            0.001078            2020      
--------------------------------------------------------------------------------
2         He        3         3.01602932197       0.00000000006       2020      
2         He        4         4.00260325413       0.00000000016       2020      
2         He        5         5.012057224         0.000021470         2020      
2         He        6         6.018885889         0.000000057         2020      
2         He        7         7.027990652         0.000008115         2020      
2         He        8         8.033934388         0.000000095         2020      
2         He        9         9.043946414         0.000050259         2020      
2         He        10        10.052815306        0.000099676         2020      
--------------------------------------------------------------------------------
3         Li        3         3.030775            0.002147            2020      
3         Li        4         4.027185561         0.000227733         2020      
3         Li        5         5.012537800         0.000053677         2020      
3         Li        6         6.01512288742       0.00000000155       2020      
3         Li        7         7.01600343426       0.00000000450       2020      
3         Li        8         8.022486244         0.000000050         2020      
3         Li        9         9.026790191         0.000000200         2020      
3         Li        10        10.035483453        0.000013656         2020      
3         Li        11        11.043723581        0.000000660         2020      
3         Li        12        12.052613942        0.000032213         2020      
3         Li        13        13.061171503        0.000075150         2020      
--------------------------------------------------------------------------------
4         Be        5         5.039870            0.002150            2020      
4         Be        6         6.019726409         0.000005848         2020      
4         Be        7         7.016928714         0.000000076         2020      
4         Be        8         8.005305102         0.000000037         2020      
4         Be        9         9.012183062         0.000000082         2020      
4         Be        10        10.013534692        0.000000086         2020      
4         Be        11        11.021661080        0.000000255         2020      
4         Be        12        12.026922082        0.000002048         2020      
4         Be        13        13.036134506        0.000010929         2020      
4         Be        14        14.042892920        0.000141970         2020      
4         Be        15        15.053490215        0.000177990         2020      
4         Be        16        16.061672036        0.000177990         2020      
--------------------------------------------------------------------------------
5         B         6         6.050800            0.002150            2020      
5         B         7         7.029712000         0.000027000         2020      
5         B         8         8.024607315         0.000001073         2020      
5         B         9         9.013329645         0.000000969         2020      
5         B         10        10.012936862        0.000000016         2020      
5         B         11        11.009305166        0.000000013         2020      
